CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
Zamalek,https://fminside.net/clubs/1-fm-21/106755-zamalek,Cairo,1911,Egypt,Premier League,57,Professional,€ 612K,0,0 pw,0 pw,70,50,80,65,62,65
Guaraní (PAR),https://fminside.net/clubs/1-fm-21/106071-guarani-par,Asunción,1903,Paraguay,Primera División,57,Professional,€ 3M,0,0 pw,0 pw,70,70,90,75,63,66
Real Madrid Castilla,https://fminside.net/clubs/1-fm-21/1737-real-madrid-castilla,Madrid,1972,Spain,Second Division B5,57,Professional,€ 103K,0,€ 62K pw,€ 14K pw,5,5,5,5,,
Guangzhou Evergrande,https://fminside.net/clubs/1-fm-21/409-guangzhou-evergrande,Guangzhou,1994,China PR,Chinese Super League,57,Professional,€ 105M,€ 51M,€ 2M pw,€ 177K pw,60,50,70,35,63,55
Daegu FC,https://fminside.net/clubs/1-fm-21/5705626-daegu-fc,Daegu,2002,South Korea,K League Classic,57,,€ 8M,€ 7M,€ 48K pw,€ 6K pw,75,65,65,70,56,52
AIK,https://fminside.net/clubs/1-fm-21/1780-aik,Solna,1891,Sweden,Allsvenskan,57,Professional,€ 5M,€ 478K,€ 86K pw,€ 6K pw,65,60,80,80,62,62
FC Tokyo,https://fminside.net/clubs/1-fm-21/107313-fc-tokyo,Tokyo,1935,Japan,J1 League,57,Professional,€ 9M,0,0 pw,0 pw,75,65,90,60,,
AGF,https://fminside.net/clubs/1-fm-21/482-agf,Aarhus,1880,Denmark,3F Superliga,57,Professional,€ 8M,€ 1M,€ 105K pw,€ 8K pw,75,75,60,65,63,66
SC Paderborn,https://fminside.net/clubs/1-fm-21/121198-sc-paderborn,Paderborn,1907,Germany,2. Bundesliga,57,Professional,€ 14M,€ 250K,€ 154K pw,€ 34K pw,60,55,30,35,65,66
Colorado Rapids,https://fminside.net/clubs/1-fm-21/1903-colorado-rapids,Commerce City (CO),1996,United States,MLS,57,Professional,€ 14M,€ 1M,€ 107K pw,€ 5K pw,80,65,55,50,62,65
CD Tondela,https://fminside.net/clubs/1-fm-21/2424-cd-tondela,Tondela,1933,Portugal,Liga NOS,57,Professional,€ 606K,€ 150K,€ 36K pw,€ 3K pw,45,45,70,70,61,58
CD Nacional,https://fminside.net/clubs/1-fm-21/2433-cd-nacional,Funchal,1910,Portugal,Liga NOS,57,Professional,€ 2M,€ 450K,€ 50K pw,€ 4K pw,75,80,50,55,64,65
GD Chaves,https://fminside.net/clubs/1-fm-21/1480-gd-chaves,Chaves,1949,Portugal,Liga Portugal 2 SABSEG,57,Professional,€ 2M,€ 150K,€ 43K pw,€ 4K pw,55,50,60,60,62,62
Estoril Praia,https://fminside.net/clubs/1-fm-21/2390-estoril-praia,Estoril,1939,Portugal,Liga Portugal 2 SABSEG,57,Professional,€ 1M,€ 200K,€ 60K pw,€ 11K pw,55,60,65,70,60,66
Albacete Balompié,https://fminside.net/clubs/1-fm-21/1660-albacete-balompie,Albacete,1940,Spain,LaLiga 2,57,Professional,€ 1M,€ 60K,€ 111K pw,€ 8K pw,70,60,70,65,63,63
Unión de Santa Fe,https://fminside.net/clubs/1-fm-21/102467-union-de-santa-fe,Santa Fe (SF),1907,Argentina,Superliga Argentina,57,Professional,€ 2M,€ 255K,€ 103K pw,€ 5K pw,60,50,65,55,63,67
Sanfrecce Hiroshima,https://fminside.net/clubs/1-fm-21/1193-sanfrecce-hiroshima,Hiroshima,1938,Japan,J1 League,57,Professional,€ 3M,0,0 pw,0 pw,70,65,95,60,65,0
Lechia Gdańsk,https://fminside.net/clubs/1-fm-21/715912-lechia-gdask,Gdańsk,1945,Poland,Ekstraklasa,57,Professional,€ 5M,€ 45K,€ 66K pw,€ 5K pw,40,40,70,50,61,62
Kayserispor,https://fminside.net/clubs/1-fm-21/1875-kayserispor,Kayseri,1966,Turkey,Turkish SüperLig,57,Professional,€ 5M,€ 2M,€ 208K pw,€ 10K pw,70,65,10,25,64,62
Orlando Pirates,https://fminside.net/clubs/1-fm-21/1645-orlando-pirates,Johannesburg,1937,South Africa,Premier Division,57,Professional,€ 4M,€ 764K,€ 70K pw,€ 3K pw,80,65,75,60,62,60
Fastav Zlín,https://fminside.net/clubs/1-fm-21/467-fastav-zlin,Zlin,1919,Czech Republic,Fortuna liga,57,Professional,€ 2M,€ 647K,€ 29K pw,€ 12K pw,55,55,55,60,57,54
FK Teplice,https://fminside.net/clubs/1-fm-21/1300309-fk-teplice,Teplice,1945,Czech Republic,Fortuna liga,57,,€ 2M,€ 647K,€ 34K pw,€ 10K pw,70,60,60,65,59,55
Vålerenga,https://fminside.net/clubs/1-fm-21/1426-vlerenga,Oslo,1913,Norway,Eliteserien,57,Professional,€ 4M,€ 1M,€ 32K pw,-67 pw,80,80,100,80,62,66
O'Higgins,https://fminside.net/clubs/1-fm-21/400-ohiggins,Rancagua,1955,Chile,Campeonato AFP,57,Professional,€ 477K,€ 340K,€ 52K pw,€ 2K pw,70,75,75,70,59,62
Universidad Técnica de Cajamarca,https://fminside.net/clubs/1-fm-21/5290571-universidad-tecnica-de-cajamarca,Cajamarca,1964,Peru,Liga 1,57,,€ 1M,€ 102K,€ 35K pw,€ 2K pw,30,15,20,15,58,55
Sport Huancayo,https://fminside.net/clubs/1-fm-21/77005796-sport-huancayo,Huancayo,2007,Peru,Liga 1,57,,€ 2M,€ 127K,€ 25K pw,€ 1K pw,30,20,25,25,61,50
Al-Ittihad (KSA),https://fminside.net/clubs/1-fm-21/106063-al-ittihad-ksa,Jeddah,1927,Saudi Arabia,Zain Professional League,57,Professional,€ 33M,€ 1M,€ 858K pw,€ 147K pw,75,50,80,40,66,52
Defensa y Justicia,https://fminside.net/clubs/1-fm-21/108526-defensa-y-justicia,Florencio Varela (BA),1935,Argentina,Superliga Argentina,57,Professional,€ 3M,€ 75K,€ 98K pw,€ 5K pw,60,55,60,50,64,67
KAS Eupen,https://fminside.net/clubs/1-fm-21/194-kas-eupen,Eupen,1945,Belgium,Jupiler Pro League,56,Professional,€ 559K,€ 100K,€ 178K pw,€ 8K pw,60,70,60,70,62,66
KV Kortrijk,https://fminside.net/clubs/1-fm-21/231-kv-kortrijk,Kortrijk,1901,Belgium,Jupiler Pro League,56,Professional,€ 8M,0,€ 163K pw,€ 16K pw,60,60,55,60,62,60
Waasland-Beveren,https://fminside.net/clubs/1-fm-21/539089-waasland-beveren,Sint-Niklaas,1936,Belgium,Jupiler Pro League,56,Professional,€ 8M,0,€ 140K pw,€ 30K pw,60,70,60,60,60,65
OB,https://fminside.net/clubs/1-fm-21/545-ob,Odense,1887,Denmark,3F Superliga,56,Professional,€ 6M,€ 637K,€ 88K pw,€ 3K pw,70,70,70,65,62,59
FC Nordsjælland,https://fminside.net/clubs/1-fm-21/932443-fc-nordsjlland,Farum,1991,Denmark,3F Superliga,56,Professional,€ 10M,€ 1M,€ 69K pw,€ 12K pw,70,75,90,85,61,69
Birmingham,https://fminside.net/clubs/1-fm-21/609-birmingham,Birmingham,1875,England,EFL Championship,56,Professional,€ 12M,€ 1M,€ 351K pw,€ 23K pw,70,70,70,75,65,67
VVV-Venlo,https://fminside.net/clubs/1-fm-21/1044-vvv-venlo,Venlo,1903,Netherlands,Eredivisie,56,Professional,€ 8M,€ 1000K,€ 45K pw,€ 2K pw,55,60,60,60,62,65
Moreirense FC,https://fminside.net/clubs/1-fm-21/2389-moreirense-fc,Moreira de Cónegos,1938,Portugal,Liga NOS,56,Professional,€ 470K,€ 100K,€ 47K pw,€ 3K pw,65,65,55,55,64,68
CD Santa Clara,https://fminside.net/clubs/1-fm-21/2448-cd-santa-clara,Ponta Delgada,1921,Portugal,Liga NOS,56,Professional,€ 862K,€ 150K,€ 47K pw,€ 3K pw,35,15,25,45,65,65
CD Feirense,https://fminside.net/clubs/1-fm-21/2387-cd-feirense,Santa Maria da Feira,1918,Portugal,Liga Portugal 2 SABSEG,56,Professional,€ 1M,€ 150K,€ 45K pw,€ 5K pw,80,80,55,60,60,59
Atlético Goianiense,https://fminside.net/clubs/1-fm-21/301151-atletico-goianiense,Goiânia (GO),1937,Brazil,Brazilian Série A,56,Professional,€ 74K,€ 46K,€ 65K pw,€ 9K pw,55,40,45,35,63,65
Yokohama F. Marinos,https://fminside.net/clubs/1-fm-21/1198-yokohama-f-marinos,Yokohama,1972,Japan,J1 League,56,Professional,€ 2M,0,0 pw,0 pw,80,75,90,60,65,0
Kaizer Chiefs,https://fminside.net/clubs/1-fm-21/1643-kaizer-chiefs,Soweto,1970,South Africa,Premier Division,56,Professional,€ 3M,€ 509K,€ 85K pw,€ 6K pw,85,75,65,60,61,60
Cape Town City,https://fminside.net/clubs/1-fm-21/65035889-cape-town-city,Cape Town,2016,South Africa,Premier Division,56,,€ 656K,€ 356K,€ 85K pw,€ 19K pw,60,60,65,55,62,61
Bohemians Praha,https://fminside.net/clubs/1-fm-21/463-bohemians-praha,Prague,1905,Czech Republic,Fortuna liga,56,Professional,€ 636K,€ 554K,€ 25K pw,€ 6K pw,45,55,60,65,57,62
Atlético San Luis,https://fminside.net/clubs/1-fm-21/5661074-atletico-san-luis,San Luis Potosí,2013,Mexico,Liga MX,56,,€ 11M,€ 6M,€ 112K pw,€ 6K pw,60,40,45,40,61,59
Lausanne-Sport,https://fminside.net/clubs/1-fm-21/1856-lausanne-sport,Lausanne,1896,Switzerland,Raiffeisen Super League,56,Professional,€ -7M,€ 463K,€ 81K pw,€ 11K pw,75,75,80,70,60,67
Odds,https://fminside.net/clubs/1-fm-21/1365-odds,Skien,1894,Norway,Eliteserien,56,Professional,€ 8M,€ 366K,€ 41K pw,€ 4K pw,55,55,75,60,61,66
Vorskla,https://fminside.net/clubs/1-fm-21/1301293-vorskla,Poltava,1955,Ukraine,FavBet Liha,56,,€ 16K,€ 17K,€ 38K pw,€ 2K pw,50,75,45,45,58,58
Astra Giurgiu,https://fminside.net/clubs/1-fm-21/57110823-astra-giurgiu,Giurgiu,2012,Romania,Liga I,56,,€ 17K,0,€ 64K pw,€ 7K pw,60,60,75,60,60,54
Beitar Jerusalem,https://fminside.net/clubs/1-fm-21/1083-beitar-jerusalem,Jerusalem,1936,Israel,Ligat,56,Professional,€ 927K,€ 100K,€ 114K pw,€ 10K pw,65,60,70,60,59,61
Pyramids,https://fminside.net/clubs/1-fm-21/13208139-pyramids,Cairo,2018,Egypt,Premier League,56,,€ 12M,0,0 pw,0 pw,50,50,50,50,63,70
Hammarby IF,https://fminside.net/clubs/1-fm-21/1797-hammarby-if,Stockholm,1897,Sweden,Allsvenskan,56,Professional,€ 6M,€ 478K,€ 76K pw,€ 6K pw,70,65,75,70,63,61
Brann,https://fminside.net/clubs/1-fm-21/1378-brann,Bergen,1908,Norway,Eliteserien,56,Professional,€ 3M,€ 685K,€ 40K pw,€ 2K pw,60,60,75,65,63,64
Shanghai SIPG,https://fminside.net/clubs/1-fm-21/23292170-shanghai-sipg,Shanghai,2005,China PR,Chinese Super League,56,,€ 88M,€ 3M,€ 2M pw,€ 100K pw,55,50,90,45,64,53
Al-Duhail,https://fminside.net/clubs/1-fm-21/23404990-al-duhail,Doha,2009,Qatar,QNB Stars League,56,,€ 31M,€ 3M,€ 753K pw,€ 107K pw,50,35,40,30,63,66
Reading,https://fminside.net/clubs/1-fm-21/702-reading,Reading,1871,England,EFL Championship,56,Professional,€ 2M,0,€ 280K pw,€ 13K pw,75,75,65,60,65,71
Cremonese,https://fminside.net/clubs/1-fm-21/1125-cremonese,Cremona,1903,Italy,Serie B,56,Professional,€ 4M,€ 1000K,€ 85K pw,€ 4K pw,85,65,55,45,60,64
Arsenal de Sarandí,https://fminside.net/clubs/1-fm-21/102476-arsenal-de-sarandi,Sarandí (BA),1957,Argentina,Superliga Argentina,56,Professional,€ 120K,0,€ 56K pw,€ 3K pw,50,40,60,55,63,65
Cerezo Osaka,https://fminside.net/clubs/1-fm-21/1185-cerezo-osaka,Osaka,1957,Japan,J1 League,56,Professional,€ 2M,0,0 pw,0 pw,70,65,80,45,,
SuperSport United,https://fminside.net/clubs/1-fm-21/1646-supersport-united,Pretoria,1985,South Africa,Premier Division,56,Professional,€ 1M,€ 509K,€ 59K pw,€ 3K pw,85,75,65,75,60,61
1. FC Slovácko,https://fminside.net/clubs/1-fm-21/131289-1-fc-slovacko,Uherske Hradiste,2000,Czech Republic,Fortuna liga,56,Professional,€ 3M,€ 554K,€ 24K pw,€ 5K pw,65,65,70,70,59,62
Akhisarspor,https://fminside.net/clubs/1-fm-21/455778-akhisarspor,Manisa,1970,Turkey,TFF 1. Lig,56,Professional,€ 672K,€ 67K,€ 27K pw,€ 1K pw,40,40,10,25,56,53
NK Maribor,https://fminside.net/clubs/1-fm-21/1629-nk-maribor,Maribor,1960,Slovenia,PrvaLiga Telekom,56,Professional,€ 4M,€ 830K,€ 48K pw,€ 8K pw,70,70,95,65,61,64
Al-Nassr (KSA),https://fminside.net/clubs/1-fm-21/102862-al-nassr-ksa,Riyadh,1955,Saudi Arabia,Zain Professional League,56,Professional,€ 44M,€ 2M,€ 629K pw,€ 125K pw,70,55,60,60,66,54
Djurgårdens IF,https://fminside.net/clubs/1-fm-21/1787-djurgrdens-if,Stockholm,1891,Sweden,Allsvenskan,56,Professional,€ 9M,€ 764K,€ 62K pw,€ 6K pw,70,65,60,60,64,66
Persepolis,https://fminside.net/clubs/1-fm-21/102860-persepolis,Tehran,1963,Iran,Iran Pro League,56,Professional,€ 4M,0,0 pw,0 pw,65,35,75,35,60,64
Al-Sadd,https://fminside.net/clubs/1-fm-21/102853-al-sadd,Doha,1969,Qatar,QNB Stars League,56,Professional,€ 18M,€ 1M,€ 516K pw,€ 96K pw,55,55,100,50,67,63
Royal Excel Mouscron,https://fminside.net/clubs/1-fm-21/8154758-royal-excel-mouscron,Mouscron,1922,Belgium,Jupiler Pro League,55,,€ 3M,0,€ 112K pw,€ 5K pw,70,80,70,70,61,63
KVC Westerlo,https://fminside.net/clubs/1-fm-21/289-kvc-westerlo,Westerlo,1933,Belgium,Proximus League,55,Professional,€ 549K,0,€ 95K pw,€ 4K pw,65,65,60,65,58,62
Millwall,https://fminside.net/clubs/1-fm-21/686-millwall,London,1885,England,EFL Championship,55,Professional,€ 9M,0,€ 236K pw,€ 12K pw,65,60,50,45,64,68
Sunderland,https://fminside.net/clubs/1-fm-21/722-sunderland,Sunderland,1879,England,EFL League One,55,Professional,€ 7M,€ 547K,€ 197K pw,€ 25K pw,90,85,60,55,59,64
AS Nancy,https://fminside.net/clubs/1-fm-21/827-as-nancy,Nancy,1967,France,Ligue 2,55,Professional,€ 6M,€ 500K,€ 87K pw,€ 4K pw,70,75,65,60,60,64
Valenciennes FC,https://fminside.net/clubs/1-fm-21/888-valenciennes-fc,Valenciennes,1913,France,Ligue 2,55,Professional,€ 2M,€ 300K,€ 114K pw,€ 5K pw,75,65,65,65,60,64
Sochaux-Montbéliard,https://fminside.net/clubs/1-fm-21/2009-sochaux-montbeliard,Montbéliard,1928,France,Ligue 2,55,Professional,€ 4M,€ 350K,€ 69K pw,€ 3K pw,75,80,75,75,58,64
AC Ajaccio,https://fminside.net/clubs/1-fm-21/400362-ac-ajaccio,Ajaccio,1910,France,Ligue 2,55,Professional,€ 1M,€ 300K,€ 96K pw,€ 4K pw,50,60,50,45,61,61
1. FC Heidenheim,https://fminside.net/clubs/1-fm-21/880295-1-fc-heidenheim,Heidenheim,2007,Germany,2. Bundesliga,55,Professional,€ 17M,0,€ 145K pw,€ 11K pw,55,50,35,40,60,62
Fortuna Sittard,https://fminside.net/clubs/1-fm-21/1014-fortuna-sittard,Sittard,1968,Netherlands,Eredivisie,55,Professional,€ 8M,€ 750K,€ 49K pw,€ 2K pw,55,50,60,60,60,62
Sparta Rotterdam,https://fminside.net/clubs/1-fm-21/1039-sparta-rotterdam,Rotterdam,1888,Netherlands,Eredivisie,55,Professional,€ 12M,€ 375K,€ 54K pw,€ 3K pw,55,60,80,70,61,63
Ascoli,https://fminside.net/clubs/1-fm-21/1105-ascoli,Ascoli Piceno,1898,Italy,Serie B,55,Professional,€ 3M,€ 700K,€ 106K pw,€ 5K pw,65,45,60,50,62,65
Reggina,https://fminside.net/clubs/1-fm-21/1165-reggina,Reggio Calabria,1914,Italy,Serie B,55,Professional,€ 3M,€ 1M,€ 127K pw,€ 22K pw,60,65,50,50,62,61
Venezia,https://fminside.net/clubs/1-fm-21/1179-venezia,Venice,1907,Italy,Serie B,55,Professional,€ 3M,€ 900K,€ 115K pw,€ 5K pw,50,30,50,40,62,68
Pisa,https://fminside.net/clubs/1-fm-21/2215-pisa,Pisa,1909,Italy,Serie B,55,Professional,€ 3M,€ 900K,€ 123K pw,€ 18K pw,55,45,40,40,60,63
Cincinnati,https://fminside.net/clubs/1-fm-21/20041327-cincinnati,Cincinnati (OH),2015,United States,MLS,55,,€ 24M,€ 2M,€ 150K pw,€ 7K pw,70,55,50,50,64,60
Gil Vicente,https://fminside.net/clubs/1-fm-21/1481-gil-vicente,Barcelos,1924,Portugal,Liga NOS,55,Professional,€ 500K,€ 100K,€ 44K pw,€ 3K pw,55,50,55,65,63,66
Académica Coimbra,https://fminside.net/clubs/1-fm-21/2393-academica-coimbra,Coimbra,1887,Portugal,Liga Portugal 2 SABSEG,55,Professional,€ 1M,€ 60K,€ 35K pw,€ 4K pw,75,75,65,70,59,61
CF Fuenlabrada,https://fminside.net/clubs/1-fm-21/109017-cf-fuenlabrada,Fuenlabrada,1975,Spain,LaLiga 2,55,Professional,€ 2M,0,€ 97K pw,€ 5K pw,50,50,45,45,62,68
CD Mirandés,https://fminside.net/clubs/1-fm-21/4212197-cd-mirandes,Miranda de Ebro,1927,Spain,LaLiga 2,55,,€ 458K,0,€ 48K pw,€ -1.1K pw,40,35,40,45,58,64
SD Ponferradina,https://fminside.net/clubs/1-fm-21/4212307-sd-ponferradina,Ponferrada,1922,Spain,LaLiga 2,55,,€ 394K,0,€ 104K pw,€ 7K pw,40,30,45,25,60,64
Racing de Santander,https://fminside.net/clubs/1-fm-21/1728-racing-de-santander,Santander,1913,Spain,Segunda División B Grupo II,55,Professional,€ 561K,€ 56K,€ 51K pw,339 pw,70,60,80,60,56,60
Córdoba,https://fminside.net/clubs/1-fm-21/1704-cordoba,Córdoba,1954,Spain,Segunda División B Grupo IV,55,Professional,€ 449K,€ 14K,€ 77K pw,€ -5.1K pw,65,60,65,55,59,65
Gamba Osaka,https://fminside.net/clubs/1-fm-21/1186-gamba-osaka,Suita,1980,Japan,J1 League,55,Professional,€ 6M,0,0 pw,0 pw,70,70,95,65,,
América Mineiro,https://fminside.net/clubs/1-fm-21/107201-america-mineiro,Belo Horizonte (MG),1912,Brazil,Brazil Série B,55,Professional,€ 746K,€ 76K,€ 71K pw,€ 11K pw,65,55,55,45,62,64
Chapecoense,https://fminside.net/clubs/1-fm-21/301304-chapecoense,Chapecó (SC),1973,Brazil,Brazil Série B,55,Professional,€ 2M,€ 76K,€ 88K pw,€ 26K pw,60,40,60,45,62,63
Lokomotiva,https://fminside.net/clubs/1-fm-21/129859-lokomotiva,Zagreb,1914,Croatia,HT Prva liga,55,Professional,€ -225K,€ 250K,€ 21K pw,€ 2K pw,40,45,75,75,59,64
Atromitos,https://fminside.net/clubs/1-fm-21/129692-atromitos,Peristeri,1923,Greece,Super League 1,55,Professional,€ 517K,0,€ 68K pw,€ 6K pw,55,65,80,70,59,59
Melbourne Victory,https://fminside.net/clubs/1-fm-21/1300489-melbourne-victory,Melbourne,2004,Australia,A-League,55,,€ 5M,€ 149K,€ 49K pw,€ 13K pw,70,60,80,55,56,47
Sydney FC,https://fminside.net/clubs/1-fm-21/1300490-sydney-fc,Sydney,2004,Australia,A-League,55,,€ 4M,€ 166K,€ 42K pw,€ -3.3K pw,65,60,90,70,58,48
Western Sydney Wanderers,https://fminside.net/clubs/1-fm-21/15035999-western-sydney-wanderers,Sydney,2012,Australia,A-League,55,,€ 3M,€ 151K,€ 38K pw,513 pw,80,80,100,50,57,55
Melbourne City,https://fminside.net/clubs/1-fm-21/15051934-melbourne-city,Melbourne,2009,Australia,A-League,55,,€ 4M,€ 200K,€ 76K pw,€ 25K pw,90,90,80,70,58,46
Gençlerbirliği,https://fminside.net/clubs/1-fm-21/1873-genclerbirlii,Ankara,1923,Turkey,Turkish SüperLig,55,Professional,€ 3M,€ 177K,€ 161K pw,€ 8K pw,75,75,15,60,64,62
Çaykur Rizespor,https://fminside.net/clubs/1-fm-21/130366-caykur-rizespor,Rize,1953,Turkey,Turkish SüperLig,55,Professional,€ 3M,€ 300K,€ 271K pw,€ 13K pw,40,40,10,25,65,61
FC Juárez,https://fminside.net/clubs/1-fm-21/51051219-fc-juarez,Ciudad Juárez,2015,Mexico,Liga MX,55,,€ 8M,€ 4M,€ 128K pw,€ 6K pw,35,30,30,30,63,67
Suwon Bluewings,https://fminside.net/clubs/1-fm-21/106813-suwon-bluewings,Suwon,1995,South Korea,K League Classic,55,Professional,€ 9M,€ 6M,€ 93K pw,€ 11K pw,80,85,90,85,60,59
Grasshopper Zürich,https://fminside.net/clubs/1-fm-21/1855-grasshopper-zurich,Zürich,1886,Switzerland,Brack.ch Challenge League,55,Professional,€ 5M,€ 463K,€ 82K pw,€ 9K pw,75,75,90,85,59,67
AEK Larnacas,https://fminside.net/clubs/1-fm-21/448-aek-larnacas,Larnaka,1994,Cyprus,Cyta Championship,55,Professional,€ 457K,0,0 pw,0 pw,50,45,75,45,62,64
Esteghlal,https://fminside.net/clubs/1-fm-21/102856-esteghlal,Tehran,1945,Iran,Iran Pro League,55,Professional,€ 944K,0,0 pw,0 pw,65,35,75,35,59,65
Strømsgodset,https://fminside.net/clubs/1-fm-21/1404-strmsgodset,Drammen,1907,Norway,Eliteserien,55,Professional,€ 4M,€ 228K,€ 29K pw,€ 3K pw,65,60,85,70,54,62
Juan Aurich,https://fminside.net/clubs/1-fm-21/308111-juan-aurich,Chiclayo,1922,Peru,Liga 2,55,Professional,€ 97K,0,0 pw,0 pw,45,45,60,45,52,52
Viitorul Constanţa,https://fminside.net/clubs/1-fm-21/57047936-viitorul-constana,Constanţa,2009,Romania,Liga I,55,,€ 483K,0,€ 49K pw,€ 7K pw,75,85,100,85,59,62
ES Sahel,https://fminside.net/clubs/1-fm-21/131255-es-sahel,Sousse,1925,Tunisia,CLP-1,55,Professional,€ 1M,0,0 pw,0 pw,65,60,90,60,60,68
Wydad Casablanca,https://fminside.net/clubs/1-fm-21/1201001-wydad-casablanca,Casablanca,1939,Morocco,Botola Pro 1,55,,€ 1M,0,0 pw,0 pw,60,50,60,55,60,61
Vita Club,https://fminside.net/clubs/1-fm-21/5340987-vita-club,Kinshasa,1935,Democratic Republic of Congo,Premier Division,55,,2.00,0,0 pw,0 pw,40,40,45,40,57,0
MSV Duisburg,https://fminside.net/clubs/1-fm-21/933-msv-duisburg,Duisburg,1902,Germany,3. Liga,55,Professional,€ 5M,0,€ 78K pw,€ 8K pw,60,55,45,40,58,61
1860 München,https://fminside.net/clubs/1-fm-21/955-1860-munchen,München,1860,Germany,3. Liga,55,Professional,€ 6M,0,€ 60K pw,€ 10K pw,65,60,50,50,53,58
Saprissa,https://fminside.net/clubs/1-fm-21/102367-saprissa,Tibás,1935,Costa Rica,Primera División,55,Professional,€ 583K,0,0 pw,0 pw,75,70,70,70,61,0
Alajuelense,https://fminside.net/clubs/1-fm-21/1200885-alajuelense,Alajuela,1919,Costa Rica,Primera División,55,,€ 291K,0,0 pw,0 pw,80,75,70,70,64,0
Extremadura,https://fminside.net/clubs/1-fm-21/67096539-extremadura,Almendralejo,2007,Spain,Second Division B5,55,,€ 530K,€ 53K,€ 68K pw,-194 pw,40,40,55,55,59,61
MŠK Żilina,https://fminside.net/clubs/1-fm-21/1620-mk-ilina,Zilina,1908,Slovakia,Fortuna Liga,55,Professional,€ 107K,€ 350K,€ 12K pw,563 pw,70,70,95,75,51,61
Shabab Al-Ahli,https://fminside.net/clubs/1-fm-21/23418694-shabab-al-ahli,Dubai,1958,United Arab Emirates,Arabian Gulf League,55,,€ 7M,€ 3M,€ 450K pw,€ 21K pw,55,35,95,45,61,66
IFK Göteborg,https://fminside.net/clubs/1-fm-21/1803-ifk-goteborg,Göteborg,1904,Sweden,Allsvenskan,55,Professional,€ 3M,€ 334K,€ 56K pw,€ 4K pw,70,65,70,70,62,66
Grenoble Foot 38,https://fminside.net/clubs/1-fm-21/852-grenoble-foot-38,Grenoble,1892,France,Ligue 2,55,Professional,€ 1M,€ 250K,€ 75K pw,€ 4K pw,50,50,40,30,59,59
Paris FC,https://fminside.net/clubs/1-fm-21/867-paris-fc,Paris,1969,France,Ligue 2,55,Professional,€ 6M,€ 300K,€ 79K pw,€ 4K pw,60,60,50,40,59,62
Virtus Entella,https://fminside.net/clubs/1-fm-21/43036943-virtus-entella,Chiavari,1914,Italy,Serie B,55,,€ 3M,€ 800K,€ 138K pw,€ 6K pw,50,50,50,50,62,65
Nashville,https://fminside.net/clubs/1-fm-21/20046403-nashville,Nashville (TN),2017,United States,MLS,55,,€ 22M,€ 3M,€ 125K pw,€ 6K pw,55,50,45,45,62,65
Austin FC,https://fminside.net/clubs/1-fm-21/72053036-austin-fc,Austin (TX),2021,United States,MLS,55,,€ 38M,€ 4M,€ 13K pw,598 pw,60,60,65,50,,
IFK Norrköping,https://fminside.net/clubs/1-fm-21/1806-ifk-norrkoping,Norrköping,1897,Sweden,Allsvenskan,55,Professional,€ 12M,€ 955K,€ 57K pw,€ 5K pw,70,65,75,70,63,66
Asteras Tripolis,https://fminside.net/clubs/1-fm-21/694366-asteras-tripolis,Tripoli Arkadias,1931,Greece,Super League 1,55,Professional,€ 651K,0,€ 61K pw,€ 6K pw,50,55,70,70,60,63
Orenburg,https://fminside.net/clubs/1-fm-21/58127493-orenburg,Orenburg,1976,Russia,FNL,55,,€ 4M,0,€ 114K pw,€ 2K pw,35,25,10,20,56,60
Bloemfontein Celtic,https://fminside.net/clubs/1-fm-21/130770-bloemfontein-celtic,Bloemfontein,1969,South Africa,Premier Division,55,Professional,€ 786K,€ 229K,€ 44K pw,€ 2K pw,50,50,45,40,56,54
FK Vojvodina,https://fminside.net/clubs/1-fm-21/1957-fk-vojvodina,Novi Sad,1914,Serbia,SuperLiga,55,Professional,€ 1M,€ 300K,€ 24K pw,€ 5K pw,70,70,80,70,58,65
Omonoia,https://fminside.net/clubs/1-fm-21/460-omonoia,Nicosia,1948,Cyprus,Cyta Championship,55,Professional,€ 434K,0,0 pw,0 pw,60,50,85,50,63,55
Lokomotiv Plovdiv,https://fminside.net/clubs/1-fm-21/351-lokomotiv-plovdiv,Plovdiv,1936,Bulgaria,efbet League,55,Professional,€ 493K,0,€ 15K pw,725 pw,55,50,60,65,54,56
FC Botoșani,https://fminside.net/clubs/1-fm-21/7540447-fc-botoani,Botoşani,2001,Romania,Liga I,55,,€ 103K,0,€ 44K pw,€ 5K pw,60,55,70,60,59,54
Olimpija Lublana,https://fminside.net/clubs/1-fm-21/1639-olimpija-lublana,Ljubljana,1911,Slovenia,PrvaLiga Telekom,55,Professional,€ 3M,€ 630K,€ 29K pw,€ 6K pw,70,65,85,70,59,64
Perugia,https://fminside.net/clubs/1-fm-21/1157-perugia,Perugia,1905,Italy,Lega Pro Girone B,55,Professional,€ 3M,€ 400K,€ 82K pw,€ 6K pw,70,65,65,50,58,61
Paxtakor,https://fminside.net/clubs/1-fm-21/475411-paxtakor,Toshkent,1956,Uzbekistan,Superleague,55,Professional,€ 229K,0,0 pw,0 pw,55,55,55,50,58,61
